id,aspect,summarize
637397cd39de7355c1044de5,交通_正,遇到的服務人員都非常親切，本來擔心停車場難停車，發現有代客泊車服務，非常專業
637397cd39de7355c1044de5,交通_中,停車場很難開，路很窄要特別小心，而且沒有交管。
637397cd39de7355c1044de5,交通_負,飯店應積極協助住客，附近可停位置，而不是只說一句沒位置，就把問題留給客人
637397cd39de7355c1044de5,早餐_正,遇到的服務人員都非常親切，本來擔心停車場難停車，發現有代客泊車服務，非常專業
637397cd39de7355c1044de5,早餐_中,地理位置很好很方便，床很大很舒適，水壓很夠也很熱，空調也很好，只是車位較少但可以泊車，早餐內容的選擇性稍嫌少了一點，退房時間電梯要等比較久。
637397cd39de7355c1044de5,早餐_負,帶一歲的寶寶入住，房間內該有的設施都有，嬰兒床，澡盆，椅凳，消毒鍋，空氣清淨，體重機，鞋子烘乾機等，且房間內有一個平台，可以擺放消毒鍋，奶粉及奶瓶等，空間規劃舒適，飯店地點也很方便，走路就有很多餐廳及百貨公司，飯店人員服務態度友善，值得推薦
637397cd39de7355c1044de5,房間_正,遇到的服務人員都非常親切，本來擔心停車場難停車，發現有代客泊車服務，非常專業
637397cd39de7355c1044de5,房間_中,地理位置很好很方便，床很大很舒適，水壓很夠也很熱，空調也很好，只是車位較少但可以泊車，早餐內容的選擇性稍嫌少了一點，退房時間電梯要等比較久。
637397cd39de7355c1044de5,房間_負,只是若電視畫質品質可以更好會再加分，因為使用，但很多台都收訊不好，本身只有三十個頻道左右可以看，有二十個頻道不是沒畫面就是聲音影像不同步，客服說因爲週遭大樓太多擋住了，但，這不就是企業要解決問題的時候嗎，而不是只推給設備問題，雖然去住宿電視不是最重要的，但有時只想擔在飯店享受時真的是需要電視的
637397cd39de7355c1044de5,服務_正,遇到的服務人員都非常親切，本來擔心停車場難停車，發現有代客泊車服務，非常專業
637397cd39de7355c1044de5,服務_中,浴室很乾淨但老舊，電視台少，沒電影可看，但服務人員超級客氣，服務超級好。
637397cd39de7355c1044de5,服務_負,帶一歲的寶寶入住，房間內該有的設施都有，嬰兒床，澡盆，椅凳，消毒鍋，空氣清淨，體重機，鞋子烘乾機等，且房間內有一個平台，可以擺放消毒鍋，奶粉及奶瓶等，空間規劃舒適，飯店地點也很方便，走路就有很多餐廳及百貨公司，飯店人員服務態度友善，值得推薦
637397cd39de7355c1044de5,設備_正,位置方便，價格合理，物超所值而且很高級
637397cd39de7355c1044de5,設備_中,設施方面，馬桶與浴室分開雖然是一個很棒的構想，但廁間的洗手檯無法置放肥皂或洗手乳，相當可惜。
637397cd39de7355c1044de5,設備_負,整體房間是整潔安靜的，但瓶裝水只有兩瓶，每層樓也沒有設置飲水機必須至地下一樓裝水，非常不方便，熱水瓶沒有相對的插座，必須擠壓桌面使用空間拔掉燈座或清淨機的插頭才能使用，非常不便
637397cd39de7355c1044de5,價格_正,位置方便，價格合理，物超所值而且很高級
637397cd39de7355c1044de5,價格_中,訂的是不含早餐的價格，覺得很划算
637397cd39de7355c1044de5,價格_負,帶一歲的寶寶入住，房間內該有的設施都有，嬰兒床，澡盆，椅凳，消毒鍋，空氣清淨，體重機，鞋子烘乾機等，且房間內有一個平台，可以擺放消毒鍋，奶粉及奶瓶等，空間規劃舒適，飯店地點也很方便，走路就有很多餐廳及百貨公司，飯店人員服務態度友善，值得推薦
637397cd39de7355c1044de6,交通_正,附近有便利商店也有捷運站，吃東西也很方便，步行約，分鐘可以到南機場夜市
637397cd39de7355c1044de6,交通_中,位於萬華火車站的上方，捷運板南線龍山寺站旁，距離龍山寺及艋舺夜市很近，前方有星巴克萬華林宅店，有專用免費停車塔，無論交通，停車，逛街和餐飲等都非常方便。
637397cd39de7355c1044de6,交通_負,當日入住，房，高樓層景觀沒話說，此外房價折扣後不到，的價格，雖然不含早餐，房間不算大，但隔音極佳走廊聲音傳不進房間超加分，房內設施該有的也都有，免治馬桶，浴缸，放大化妝鏡，連身鏡，浴室還有掛衣繩可以曬衣服，床和枕頭也很好睡，真的不錯，比較可惜的是停車場並不在飯店地下室，是對側的機械式立體停車場，且停車費須至，樓櫃台消磁，這讓我覺得困擾的是電梯可以直接搭到，樓空橋去開車，但因為消磁要去，樓櫃台，導致我完全不想再回去，樓走空橋，這棟現看能不能在，樓設計一個可以消磁的機制，或者在轉交停車幣時就先做設定可以免去此麻煩，不然真的很可惜
