id,aspect,summarize
637397cd39de7355c1044de5,交通_正,遇到的服務人員都非常親切，本來擔心停車場難停車，發現有代客泊車服務，非常專業。
637397cd39de7355c1044de5,交通_中,停車場很難開，路很窄要特別小心，而且沒有交管。
637397cd39de7355c1044de5,交通_負,飯店應積極協助住客，附近可停位置，而不是只說一句沒位置，就把問題留給客人。
637397cd39de7355c1044de5,早餐_正,整體環境都不錯，床好睡，還有貼心為女生設計了梳妝台，按摩師也很厲害，早餐好好吃，港式餐廳也好好吃，但是可惜了，游泳池和三溫暖沒有開放。
637397cd39de7355c1044de5,早餐_中,地理位置很好很方便，床很大很舒適，水壓很夠也很熱，空調也很好，只是車位較少但可以泊車，早餐內容的選擇性稍嫌少了一點，退房時間電梯要等比較久。
637397cd39de7355c1044de5,早餐_負,帶一歲的寶寶入住，房間內該有的設施都有，嬰兒床，澡盆，椅凳，消毒鍋，空氣清淨，體重機，鞋子烘乾機等，且房間內有一個平台，可以擺放消毒鍋，奶粉及奶瓶等，空間規劃舒適，飯店地點也很方便，走路就有很多餐廳及百貨公司，飯店人員服務態度友善，值得推薦。
637397cd39de7355c1044de5,房間_正,對有嬰兒同行的父母來說非常友善，除了房間升級成較大的房間之外，協助溫熱副食品及準備相關備品都很周到，感謝飯店服務人員。
637397cd39de7355c1044de5,房間_中,地理位置很好很方便，床很大很舒適，水壓很夠也很熱，空調也很好，只是車位較少但可以泊車，早餐內容的選擇性稍嫌少了一點，退房時間電梯要等比較久。
637397cd39de7355c1044de5,房間_負,若，領房卡入住時間無法正常於下午時段，需要留意房型，我住過很多次老爺酒店，印象和體驗都很滿意，服務員也很親切，因此這次依舊毫無疑問的選擇入住老爺酒店，但也是經過這次的體驗讓我接下來選擇酒店不會再毅然決然地選擇老爺酒店了。
637397cd39de7355c1044de5,服務_正,遇到的服務人員都非常親切，本來擔心停車場難停車，發現有代客泊車服務，非常專業。
637397cd39de7355c1044de5,服務_中,浴室很乾淨但老舊，電視台少，沒電影可看，但服務人員超級客氣，服務超級好。
637397cd39de7355c1044de5,服務_負,帶一歲的寶寶入住，房間內該有的設施都有，嬰兒床，澡盆，椅凳，消毒鍋，空氣清淨，體重機，鞋子烘乾機等，且房間內有一個平台，可以擺放消毒鍋，奶粉及奶瓶等，空間規劃舒適，飯店地點也很方便，走路就有很多餐廳及百貨公司，飯店人員服務態度友善，值得推薦。
637397cd39de7355c1044de5,設備_正,另外建議餐廳可使用自動手套機，否則一群人擠在手套盒前面又打不開手套，太薄，真的很困擾。
637397cd39de7355c1044de5,設備_中,設施方面，馬桶與浴室分開雖然是一個很棒的構想，但廁間的洗手檯無法置放肥皂或洗手乳，相當可惜。
637397cd39de7355c1044de5,設備_負,飯店靠近捷運中山站，停車場出入口雖位於巷內，但有方便的泊車服務，飯店人員服務親切有效率，周邊餐廳選擇多樣，聖誕節期間，漫步在中山北路，可以感受濃厚過節氣氛，是來台北一定會列入考慮的住宿地
637397cd39de7355c1044de5,價格_正,至少可以解釋一下因為疫情關係。
637397cd39de7355c1044de5,價格_中,訂的是不含早餐的價格，覺得很划算
637397cd39de7355c1044de5,價格_負,帶一歲的寶寶入住，房間內該有的設施都有，嬰兒床，澡盆，椅凳，消毒鍋，空氣清淨，體重機，鞋子烘乾機等，且房間內有一個平台，可以擺放消毒鍋，奶粉及奶瓶等，空間規劃舒適，飯店地點也很方便，走路就有很多餐廳及百貨公司，飯店人員服務態度友善，值得推薦。
637397cd39de7355c1044de6,交通_正,地點很棒，交通便利，距離龍山寺捷運站很近，萬華車站就在飯店樓下，停車場也很充足，無論是個人或是與好友，家人出遊都很合適。
637397cd39de7355c1044de6,交通_中,位於萬華火車站的上方，捷運板南線龍山寺站旁，距離龍山寺及艋舺夜市很近，前方有星巴克萬華林宅店，有專用免費停車塔，無論交通，停車，逛街和餐飲等都非常方便。
637397cd39de7355c1044de6,交通_負,台北停車真的很不方便，我們從外地去的，搜尋關鍵字有特定選擇停車場，可是到了才發現，他的停車場是在有一段距離的停車塔，因為有帶小孩還有行李，停車塔規定只能一個人進去，連行李都要先下，重點是停車塔服務人員態度差又不耐煩，停車花了一小時的時間，我們剛好最後一台，後面還有十台左右在排，他有規定停進去到退房都不能取車，還說附近這麼方便搭交通工具就好不需要開車，隔天可以，點再退房，一樣排停車位又等了快兩個小時，只能爸爸一個人去，媽媽帶著小孩跟行李在遠方的大廳等，有小孩跟要停車的非常不推薦，清潔度跟友善度都很不錯，也真的是交通便利，附近什麼都有。
